id,E,N
1,332775.372538,184439.650782
2,332794.520142,184429.206634
3,332811.056708,184420.503178
4,332825.852584,184411.799722
5,332842.389151,184401.355574
6,332858.055372,184392.652118
7,332875.462285,184380.467279
8,332891.998852,184370.023132
9,332908.535418,184360.44933
10,332925.071985,184349.134837
11,332940.738207,184339.561035
12,332957.274773,184331.727924
13,332974.681686,184323.024468
14,332991.218253,184314.321012
15,333009.495511,184305.617555
16,333026.032078,184296.914099
17,333040.827953,184289.080988
18,333056.494175,184282.988569
