"X (Easting)","Y (Northing)","Latitude","Longitude","Postcode","Address (near)","what3words"
"332855","184414","51.554594","-2.9698598","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","shed.civil.kept"
"332874","184400","51.554474","-2.9695809","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","bottom.switch.spit"
"332892","184389","51.554381","-2.9693234","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","loved.member.guilty"
"332914","184379","51.554287","-2.9690015","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","smug.name.trees"
"332939","184365","51.554167","-2.9686368","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","format.cubes.blues"
"332963","184351","51.554047","-2.9682934","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","locals.pump.jobs"
"332976","184348","51.554021","-2.9681003","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","city.dame.moss"
"333001","184335","51.553901","-2.9677355","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","gent.intent.sank"
"333019","184330","51.553861","-2.9674780","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","able.books.elaborate"
"333036","184321","51.553780","-2.9672420","NP18 2YH","West Nash Road, Uskmouth Sustainable Energy Park, Nash, Newport, Wales, NP18 2YH, United Kingdom","fever.spicy.prices"
